구분,서울
2021년09월12일,1519.60
2021년09월13일,1521.55
2021년09월14일,1521.07
2021년09월15일,1520.63
2021년09월16일,1520.63
2021년09월17일,1521.15
2021년09월18일,1519.03
2021년09월19일,1519.12
2021년09월20일,1521.28
2021년09월21일,1521.95
2021년09월22일,1521.04
2021년09월23일,1521.06
2021년09월24일,1522.80
2021년09월25일,1521.90
2021년09월26일,1522.05
2021년09월27일,1524.75
2021년09월28일,1525.97
2021년09월29일,1526.75
2021년09월30일,1527.98
2021년10월01일,1533.10
2021년10월02일,1532.66
2021년10월03일,1532.18
2021년10월04일,1534.79
2021년10월05일,1537.61
2021년10월06일,1542.16
2021년10월07일,1545.73
2021년10월08일,1553.72
2021년10월09일,1557.51
2021년10월10일,1559.55
2021년10월11일,1562.39
2021년10월12일,1567.28
2021년10월13일,1575.13
2021년10월14일,1584.12
2021년10월15일,1590.24
2021년10월16일,1591.99
2021년10월17일,1594.89
2021년10월18일,1599.39
2021년10월19일,1606.40
2021년10월20일,1612.59
2021년10월21일,1618.12
2021년10월22일,1624.23
2021년10월23일,1625.77
2021년10월24일,1628.28
2021년10월25일,1633.10
2021년10월26일,1636.52
2021년10월27일,1644.85
2021년10월28일,1649.15
2021년10월29일,1651.62
2021년10월30일,1655.05
2021년10월31일,1656.97
2021년11월01일,1662.31
2021년11월02일,1665.65
2021년11월03일,1669.69
2021년11월04일,1673.13
2021년11월05일,1675.05
2021년11월06일,1675.41
2021년11월07일,1676.34
2021년11월08일,1679.64
2021년11월09일,1681.38
2021년11월10일,1682.12
2021년11월11일,1683.85
2021년11월12일,1629.20
2021년11월13일,1613.73
2021년11월14일,1606.74
2021년11월15일,1600.24
2021년11월16일,1592.22
2021년11월17일,1588.66
2021년11월18일,1586.15
2021년11월19일,1583.95
2021년11월20일,1579.83
2021년11월21일,1579.35
2021년11월22일,1580.32
2021년11월23일,1577.91
2021년11월24일,1576.05
2021년11월25일,1574.80
2021년11월26일,1574.16
2021년11월27일,1570.48
2021년11월28일,1569.78
2021년11월29일,1571.32
2021년11월30일,1570.71
2021년12월01일,1568.34
2021년12월02일,1566.52
2021년12월03일,1563.94
2021년12월04일,1558.83
2021년12월05일,1558.58
2021년12월06일,1559.46
2021년12월07일,1556.43
2021년12월08일,1553.99
2021년12월09일,1549.56
2021년12월10일,1545.81
2021년12월11일,1541.25
2021년12월12일,1540.45
2021년12월13일,1541.14
2021년12월14일,1539.95
2021년12월15일,1537.92
2021년12월16일,1537.04
2021년12월17일,1534.27
2021년12월18일,1531.36
2021년12월19일,1530.72
2021년12월20일,1532.42
2021년12월21일,1530.35
2021년12월22일,1528.80
2021년12월23일,1526.93
2021년12월24일,1526.16
2021년12월25일,1523.27
2021년12월26일,1523.37
2021년12월27일,1525.70
2021년12월28일,1524.42
2021년12월29일,1523.64
2021년12월30일,1523.43
2021년12월31일,1523.15
2022년01월01일,1520.87
2022년01월02일,1520.91
2022년01월03일,1523.09
2022년01월04일,1521.89
2022년01월05일,1521.82
2022년01월06일,1521.10
2022년01월07일,1520.34
2022년01월08일,1517.93
2022년01월09일,1518.00
2022년01월10일,1521.23
2022년01월11일,1521.69
2022년01월12일,1521.36
2022년01월13일,1524.85
2022년01월14일,1527.15
2022년01월15일,1526.85
2022년01월16일,1527.35
2022년01월17일,1531.28
2022년01월18일,1533.63
2022년01월19일,1535.87
2022년01월20일,1542.19
2022년01월21일,1546.04
2022년01월22일,1545.86
2022년01월23일,1546.74
2022년01월24일,1551.08
2022년01월25일,1553.77
2022년01월26일,1557.42
2022년01월27일,1559.99
2022년01월28일,1561.32
2022년01월29일,1560.27
2022년01월30일,1561.04
2022년01월31일,1564.37
2022년02월01일,1568.59
2022년02월02일,1569.14
2022년02월03일,1573.67
2022년02월04일,1577.89
2022년02월05일,1578.84
2022년02월06일,1580.55
2022년02월07일,1586.36
2022년02월08일,1591.16
2022년02월09일,1600.83
2022년02월10일,1604.24
2022년02월11일,1607.16
2022년02월12일,1607.99
2022년02월13일,1609.64
2022년02월14일,1614.24
2022년02월15일,1617.66
2022년02월16일,1622.87
2022년02월17일,1626.18
2022년02월18일,1629.71
2022년02월19일,1629.52
2022년02월20일,1630.89
2022년02월21일,1636.28
2022년02월22일,1639.30
2022년02월23일,1643.00
2022년02월24일,1645.32
2022년02월25일,1648.62
2022년02월26일,1650.47
2022년02월27일,1651.64
2022년02월28일,1655.06
2022년03월01일,1662.89
2022년03월02일,1665.95
2022년03월03일,1672.77
2022년03월04일,1688.04
2022년03월05일,1708.77
2022년03월06일,1719.76
2022년03월07일,1739.17
2022년03월08일,1781.06
2022년03월09일,1819.91
2022년03월10일,1856.34
2022년03월11일,1903.61
2022년03월12일,1948.97
2022년03월13일,1966.36
2022년03월14일,1984.37
2022년03월15일,2012.70
2022년03월16일,2019.30
2022년03월17일,2015.73
2022년03월18일,2007.80
2022년03월19일,2001.98
2022년03월20일,2001.59
2022년03월21일,2005.06
2022년03월22일,2002.09
2022년03월23일,2001.56
2022년03월24일,2000.40
2022년03월25일,1998.34
2022년03월26일,1993.15
2022년03월27일,1992.76
2022년03월28일,1996.77
2022년03월29일,1996.74
2022년03월30일,1995.94
2022년03월31일,1992.78
2022년04월01일,1989.60
2022년04월02일,1981.78
2022년04월03일,1979.63
2022년04월04일,1982.05
2022년04월05일,1976.80
2022년04월06일,1974.52
2022년04월07일,1974.25
2022년04월08일,1971.12
2022년04월09일,1966.72
2022년04월10일,1965.89
2022년04월11일,1968.84
2022년04월12일,1968.85
2022년04월13일,1966.62
2022년04월14일,1966.35
2022년04월15일,1964.57
2022년04월16일,1960.53
2022년04월17일,1960.83
2022년04월18일,1966.00
2022년04월19일,1966.66
2022년04월20일,1967.60
2022년04월21일,1964.61
2022년04월22일,1968.29
2022년04월23일,1966.25
2022년04월24일,1966.71
2022년04월25일,1974.51
2022년04월26일,1979.12
2022년04월27일,1981.96
2022년04월28일,1985.44
2022년04월29일,1987.15
2022년04월30일,1990.68
2022년05월01일,1965.45
2022년05월02일,1961.46
2022년05월03일,1958.34
2022년05월04일,1958.89
2022년05월05일,1959.74
2022년05월06일,1961.87
2022년05월07일,1964.76
2022년05월08일,1971.77
2022년05월09일,1977.18
2022년05월10일,1996.46
2022년05월11일,2004.34
2022년05월12일,2008.14
2022년05월13일,2015.43
2022년05월14일,2018.37
2022년05월15일,2020.47
2022년05월16일,2024.74
2022년05월17일,2031.01
2022년05월18일,2035.01
2022년05월19일,2039.64
2022년05월20일,2047.00
2022년05월21일,2049.87
2022년05월22일,2051.15
2022년05월23일,2053.32
2022년05월24일,2057.88
2022년05월25일,2060.58
2022년05월26일,2061.93
2022년05월27일,2063.19
2022년05월28일,2062.93
2022년05월29일,2064.12
2022년05월30일,2066.27
2022년05월31일,2066.78
2022년06월01일,2064.29
2022년06월02일,2067.23
2022년06월03일,2068.68
2022년06월04일,2072.12
2022년06월05일,2075.77
2022년06월06일,2080.92
2022년06월07일,2086.53
2022년06월08일,2096.07
2022년06월09일,2105.70
2022년06월10일,2117.86
2022년06월11일,2121.67
2022년06월12일,2126.05
2022년06월13일,2136.35
2022년06월14일,2149.23
2022년06월15일,2157.28
2022년06월16일,2162.10
2022년06월17일,2169.68
